Timestamp,Voltage_mV
2025-04-27 11:20:27.019,1,12.84
2025-04-27 11:20:27.023,1,16.54
2025-04-27 11:20:27.027,1,20.61
2025-04-27 11:20:27.031,1,25.0
2025-04-27 11:20:27.035,1,29.66
2025-04-27 11:20:27.039,1,34.55
2025-04-27 11:20:27.043,1,39.6
2025-04-27 11:20:27.047,1,44.77
2025-04-27 11:20:27.051,1,50.0
2025-04-27 11:20:27.055,1,55.23
2025-04-27 11:20:27.059,1,60.4
2025-04-27 11:20:27.063,1,65.45
2025-04-27 11:20:27.067,1,70.34
2025-04-27 11:20:27.071,1,75.0
2025-04-27 11:20:27.075,1,79.39
2025-04-27 11:20:27.079,1,83.46
2025-04-27 11:20:27.083,1,87.16
2025-04-27 11:20:27.087,1,90.45
2025-04-27 11:20:27.091,1,93.3
2025-04-27 11:20:27.095,1,95.68
2025-04-27 11:20:27.099,1,97.55
2025-04-27 11:20:27.103,1,98.91
2025-04-27 11:20:27.107,1,99.73
2025-04-27 11:20:27.111,1,100.0
2025-04-27 11:20:27.115,1,99.73
2025-04-27 11:20:27.119,1,98.91
2025-04-27 11:20:27.123,1,97.55
2025-04-27 11:20:27.127,1,95.68
2025-04-27 11:20:27.131,1,93.3
2025-04-27 11:20:27.135,1,90.45
2025-04-27 11:20:27.139,1,87.16
2025-04-27 11:20:27.143,1,83.46
2025-04-27 11:20:27.147,1,79.39
2025-04-27 11:20:27.151,1,75.0
2025-04-27 11:20:27.155,1,70.34
2025-04-27 11:20:27.159,1,65.45
2025-04-27 11:20:27.163,1,60.4
2025-04-27 11:20:27.167,1,55.23
2025-04-27 11:20:27.171,1,50.0
2025-04-27 11:20:27.175,1,44.77
2025-04-27 11:20:27.179,1,39.6
2025-04-27 11:20:27.183,1,34.55
2025-04-27 11:20:27.187,1,29.66
2025-04-27 11:20:27.191,1,25.0
2025-04-27 11:20:27.195,1,20.61
2025-04-27 11:20:27.199,1,16.54
2025-04-27 11:20:27.203,1,12.84
2025-04-27 11:20:27.207,1,9.55
2025-04-27 11:20:27.211,1,6.7
2025-04-27 11:20:27.215,1,4.32
2025-04-27 11:20:27.219,1,2.45
2025-04-27 11:20:27.223,1,1.09
2025-04-27 11:20:27.227,1,0.27
2025-04-27 11:20:27.231,1,0.0
2025-04-27 11:20:27.235,1,0.27
2025-04-27 11:20:27.239,1,1.09
2025-04-27 11:20:27.243,1,2.45
2025-04-27 11:20:27.247,1,4.32
2025-04-27 11:20:27.251,1,6.7
2025-04-27 11:20:27.255,1,9.55
2025-04-27 11:20:27.259,1,12.84
2025-04-27 11:20:27.263,1,16.54
2025-04-27 11:20:27.267,1,20.61
2025-04-27 11:20:27.271,1,25.0
